lat_values,lng_values,city,country,Temp,Humidity,Cloudiness,Wind Speed,Lat,Longitude
-18.236817231545885,11.532333862161153,opuwo,na,54.67,62,0,3.24,-18.06,13.84
73.13086921414904,-8.379250838796281,klaksvik,fo,48.2,100,92,18.34,62.23,-6.59
36.6815839050157,-60.91404351020614,saint george,bm,73.4,60,40,12.75,32.38,-64.68
62.705632798049265,-126.08418043774688,norman wells,ca,30.2,86,90,2.24,65.28,-126.83
-32.64510795556692,74.3981587821228,bambous virieux,mu,75.2,83,40,11.41,-20.34,57.76
80.86049377366658,38.56127360309273,tumannyy,ru,33.43,90,76,13.82,69.16,35.15
28.05322556962797,-63.925119500015725,hamilton,bm,73.4,60,40,12.75,32.29,-64.78
43.73973603775735,149.3006814205703,sentyabrskiy,ru,25.01,89,76,5.88,60.75,72.86
55.40779297417026,-126.24763130238347,houston,ca,39.2,93,40,4.7,54.4,-126.67
29.62609273154071,-32.31346742834921,ribeira grande,pt,64.75,100,88,12.82,38.52,-28.7
76.69076320038496,-55.901133165321724,upernavik,gl,29.11,100,88,6.49,72.79,-56.15
62.429393131338145,52.276149394820465,sindor,ru,23.53,86,88,5.21,62.86,51.89
-11.00199409697099,8.463753138057939,benguela,ao,72.89,100,12,4.7,-12.58,13.41
-16.98361773456608,65.99263905883495,quatre cocos,mu,75.2,83,40,11.41,-20.21,57.76
85.79209172555943,-138.5086979686351,tuktoyaktuk,ca,28.4,92,90,10.29,69.45,-133.04
-22.709024923951432,-64.00464900595118,tartagal,ar,75.28,62,80,8.61,-22.52,-63.8
-13.034758733903985,-70.67832191354246,paucartambo,pe,50,81,90,2.24,-13.42,-71.85
-47.16398766856024,132.93081640849124,mount gambier,au,59.03,88,64,4.81,-37.83,140.77
-69.0258694547448,-112.21850466639414,punta arenas,cl,44.6,93,75,10.29,-53.15,-70.92
72.06470204931017,9.162074326667494,sorland,no,45.13,100,68,26.57,67.67,12.69
55.76691002508892,-68.82327682554089,port-cartier,ca,42.8,81,75,11.41,50.03,-66.87
6.633574548314272,108.20884537623164,bac lieu,vn,78.97,100,80,6.89,9.29,105.72
-40.38601515720612,130.27956083184057,port lincoln,au,62.36,84,68,12.93,-34.73,135.87
37.13502046969168,145.71478911068664,kamaishi,jp,53.6,81,40,3.36,39.27,141.88
-1.2895124232338162,29.206935975600004,goma,cd,60.74,100,92,2.24,-1.68,29.22
45.247083834818255,10.569577982010657,goito,it,49.26,62,0,5.82,45.25,10.67
75.5558030642946,75.27145668191855,dikson,ru,20.74,100,64,21.92,73.51,80.55
-37.3923236164458,59.74708305741683,saint-philippe,re,72.45,64,90,3.36,-21.36,55.77
63.4597228103099,48.30994127304149,mezhdurechensk,ru,5.21,73,8,2.19,53.69,88.06
68.76957635009168,-85.24447763101884,attawapiskat,ca,37.34,72,92,9.57,52.3,-81.62
